id,country_id,title,year,start_date,end_date,notes
1,1,coat of arms drawing,1850,,,
2,1,Franz Joseph,1858,,,
3,1,Franz Joseph,1860,,,
4,1,Double Eagle,1863,,,
5,1,Double Eagle with a different centre,1863,,,
6,1,Franz Joseph,1867,,,
7,1,Double Eagle,1883,,,
8,1,Franz Joseph,1890,,,
9,1,Franz Joseph value number written on white background,1891,,,
10,1,Franz Joseph,1896,,,
11,1,Franz Joseph without paint stripes,1899,,,
12,1,Franz Joseph with varnish stripe,1901,,,
13,1,Franz Joseph with paint stripes,1904,,,
14,1,Franz Joseph without paint stripes,1905,,,
15,1,Franz Joseph without paint stripes,1906,,,
16,1,Emeperors Birthday 60th,1908,,,
17,1,Emeperors Birthday,1910,,,
18,1,For war widow,1914,,,
19,1,For war widow,1915,,,
20,1,Emperors of Austria,1916,,,
21,1,Postage stamps Coat of arms,1917,,,
22,1,Postage stamps Coat of arms,1919,,,
23,1,Newspaper stamps,1916,,,
24,1,Newspaper stamps,1917,,,
25,1,Karl I.,1916,,,
26,1,Karl I.,1917,,,
27,1,Newspaper Stamps,1851,,,
28,1,Newspaper Stamps,1916,,,
29,1,Flugpost,1918,,,
